product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Emerging markets,SUSM.L,14.0,2020-10-01,2021-02-01,6.64,93.02,123.38,30.36,-4.05,26.31,32.63,28.28
Pacific,UIMT.AS,2.0,2020-10-01,2021-02-01,67.07,134.14,139.32,5.18,-2.04,3.14,3.86,2.34
Europe,IESE.AS,4.0,2020-10-01,2021-02-01,49.74,198.98,205.68,6.7,-2.06,4.64,3.37,2.33
USA,UIMP.AS,3.0,2020-10-01,2021-02-01,127.04,381.12,399.18,18.06,-2.11,15.95,4.74,4.19
Full portfolio,,27.0,2020-10-01,2021-02-01,73.97,1997.28,1459.64,-67.86,-45.9,-113.76,-3.4,-5.7
PayPal,PYPL,2.0,2020-10-01,2021-03-01,229.16,458.32,547.26,88.94,-1.0,87.94,19.41,19.19
Cloudflare,NET,4.0,2020-10-01,2021-03-01,68.87,275.48,307.6,32.12,-1.02,31.1,11.66,11.29
Tilray Brands,TLRY,0.0,2020-10-01,2021-03-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-03-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-03-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-03-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-03-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-03-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-03-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-03-01,300.16,300.16,395.04,94.88,-0.5,94.38,31.61,31.44
Emerging markets,SUSM.L,14.0,2020-10-01,2021-03-01,6.64,93.02,121.87,28.85,-4.05,24.8,31.01,26.66
Pacific,UIMT.AS,2.0,2020-10-01,2021-03-01,67.07,134.14,140.9,6.76,-2.04,4.72,5.04,3.52
Europe,IESE.AS,4.0,2020-10-01,2021-03-01,49.74,198.98,210.08,11.1,-2.06,9.04,5.58,4.54
USA,UIMP.AS,3.0,2020-10-01,2021-03-01,127.04,381.12,406.08,24.96,-2.11,22.85,6.55,6.0
Full portfolio,,30.0,2020-10-01,2021-03-01,100.86,3025.94,2128.83,287.61,-240.1,47.51,9.5,1.57
PayPal,PYPL,2.0,2020-10-01,2021-04-01,229.16,458.32,495.08,36.76,-1.0,35.76,8.02,7.8
Cloudflare,NET,4.0,2020-10-01,2021-04-01,68.87,275.48,287.16,11.68,-1.02,10.66,4.24,3.87
Tilray Brands,TLRY,0.0,2020-10-01,2021-04-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-04-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-04-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-04-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-04-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-04-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-04-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-04-01,300.16,300.16,290.33,-9.83,-0.5,-10.33,-3.27,-3.44
Emerging markets,SUSM.L,14.0,2020-10-01,2021-04-01,6.64,93.02,119.63,26.61,-4.05,22.56,28.61,24.25
Pacific,UIMT.AS,2.0,2020-10-01,2021-04-01,67.07,134.14,143.1,8.96,-2.04,6.92,6.68,5.16
Europe,IESE.AS,4.0,2020-10-01,2021-04-01,49.74,198.98,220.16,21.18,-2.06,19.12,10.64,9.61
USA,UIMP.AS,3.0,2020-10-01,2021-04-01,127.04,381.12,431.16,50.04,-2.11,47.93,13.13,12.58
Full portfolio,,30.0,2020-10-01,2021-04-01,100.86,3025.94,1986.62,145.4,-240.1,-94.7,4.81,-3.13
PayPal,PYPL,2.0,2020-10-01,2021-05-01,229.16,458.32,524.58,66.26,-1.0,65.26,14.46,14.24
Cloudflare,NET,4.0,2020-10-01,2021-05-01,68.87,275.48,338.96,63.48,-1.02,62.46,23.04,22.67
Tilray Brands,TLRY,0.0,2020-10-01,2021-05-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-05-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-05-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-05-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-05-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-05-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-05-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-05-01,300.16,300.16,297.46,-2.7,-0.5,-3.2,-0.9,-1.07
Emerging markets,SUSM.L,14.0,2020-10-01,2021-05-01,6.64,93.02,121.03,28.01,-4.05,23.96,30.11,25.76
Pacific,UIMT.AS,2.0,2020-10-01,2021-05-01,67.07,134.14,139.16,5.02,-2.04,2.98,3.74,2.22
Europe,IESE.AS,4.0,2020-10-01,2021-05-01,49.74,198.98,223.72,24.74,-2.06,22.68,12.43,11.4
USA,UIMP.AS,3.0,2020-10-01,2021-05-01,127.04,381.12,438.54,57.42,-2.11,55.31,15.07,14.51
Full portfolio,,30.0,2020-10-01,2021-05-01,100.86,3025.94,2083.45,242.23,-240.1,2.13,8.01,0.07
PayPal,PYPL,2.0,2020-10-01,2021-06-01,229.16,458.32,518.54,60.22,-1.0,59.22,13.14,12.92
Cloudflare,NET,4.0,2020-10-01,2021-06-01,68.87,275.48,332.28,56.8,-1.02,55.78,20.62,20.25
