product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-11,5.72,291.87,288.71,-3.16,-1.0,-4.16,-1.08,-1.42
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-11,69.67,487.68,490.07,2.39,-11.58,-9.19,0.49,-1.88
Europe,IESE.AS,15.0,2024-01-01,2024-03-11,58.12,871.76,1023.0,151.24,-11.69,139.55,17.35,16.01
USA,UIMP.AS,9.0,2024-01-01,2024-03-11,151.45,1363.08,1741.32,378.24,-3.11,375.13,27.75,27.52
PayPal,PYPL,3.0,2024-01-01,2024-03-11,188.81,566.43,180.24,-386.19,-1.5,-387.69,-68.18,-68.44
Cloudflare,NET,0.0,2024-01-01,2024-03-11,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-11,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-11,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-11,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-11,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-11,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-11,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-11,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-11,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-11,6.64,93.02,96.6,3.58,-4.05,-0.47,3.85,-0.51
Full portfolio,,201.0,2024-01-01,2024-03-11,8.09,6443.7,4911.54,228.2,27.27,255.47,3.54,3.96
World,2B7K.DE,51.0,2024-01-01,2024-03-12,10.05,512.65,540.6,27.95,-1.0,26.95,5.45,5.26
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-12,9.74,496.85,559.27,62.42,-1.0,61.42,12.56,12.36
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-12,5.72,291.87,291.31,-0.56,-1.0,-1.56,-0.19,-0.53
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-12,69.67,487.68,491.68,4.0,-11.58,-7.58,0.82,-1.55
Europe,IESE.AS,15.0,2024-01-01,2024-03-12,58.12,871.76,1030.8,159.04,-11.69,147.35,18.24,16.9
USA,UIMP.AS,9.0,2024-01-01,2024-03-12,151.45,1363.08,1757.52,394.44,-3.11,391.33,28.94,28.71
PayPal,PYPL,3.0,2024-01-01,2024-03-12,188.81,566.43,180.09,-386.34,-1.5,-387.84,-68.21,-68.47
Cloudflare,NET,0.0,2024-01-01,2024-03-12,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-12,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-12,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-12,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-12,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-12,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-12,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-12,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-12,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-12,6.64,93.02,97.16,4.14,-4.05,0.09,4.45,0.1
Full portfolio,,201.0,2024-01-01,2024-03-12,8.09,6443.7,4948.43,265.09,27.27,292.36,4.11,4.54
World,2B7K.DE,51.0,2024-01-01,2024-03-13,10.05,512.65,541.01,28.36,-1.0,27.36,5.53,5.34
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-13,9.74,496.85,557.33,60.48,-1.0,59.48,12.17,11.97
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-13,5.72,291.87,289.32,-2.55,-1.0,-3.55,-0.87,-1.22
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-13,69.67,487.68,489.3,1.62,-11.58,-9.96,0.33,-2.04
Europe,IESE.AS,15.0,2024-01-01,2024-03-13,58.12,871.76,1032.45,160.69,-11.69,149.0,18.43,17.09
USA,UIMP.AS,9.0,2024-01-01,2024-03-13,151.45,1363.08,1756.44,393.36,-3.11,390.25,28.86,28.63
PayPal,PYPL,3.0,2024-01-01,2024-03-13,188.81,566.43,187.35,-379.08,-1.5,-380.58,-66.92,-67.19
Cloudflare,NET,0.0,2024-01-01,2024-03-13,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-13,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-13,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-13,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-13,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-13,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-13,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-13,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-13,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-13,6.64,93.02,97.33,4.31,-4.05,0.26,4.64,0.28
Full portfolio,,201.0,2024-01-01,2024-03-13,8.09,6443.7,4950.53,267.19,27.27,294.46,4.15,4.57
World,2B7K.DE,51.0,2024-01-01,2024-03-14,10.05,512.65,539.78,27.13,-1.0,26.13,5.29,5.1
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-14,9.74,496.85,556.72,59.87,-1.0,58.87,12.05,11.85
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-14,5.72,291.87,290.04,-1.83,-1.0,-2.83,-0.63,-0.97
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-14,69.67,487.68,487.13,-0.55,-11.58,-12.13,-0.11,-2.49
Europe,IESE.AS,15.0,2024-01-01,2024-03-14,58.12,871.76,1033.5,161.74,-11.69,150.05,18.55,17.21
USA,UIMP.AS,9.0,2024-01-01,2024-03-14,151.45,1363.08,1753.74,390.66,-3.11,387.55,28.66,28.43
PayPal,PYPL,3.0,2024-01-01,2024-03-14,188.81,566.43,189.0,-377.43,-1.5,-378.93,-66.63,-66.9
Cloudflare,NET,0.0,2024-01-01,2024-03-14,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-14,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-14,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-14,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-14,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-14,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-14,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-14,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-14,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-14,6.64,93.02,97.02,4.0,-4.05,-0.05,4.3,-0.05
Full portfolio,,201.0,2024-01-01,2024-03-14,8.09,6443.7,4946.93,263.59,27.27,290.86,4.09,4.51
World,2B7K.DE,51.0,2024-01-01,2024-03-15,10.05,512.65,535.4,22.75,-1.0,21.75,4.44,4.24
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-15,9.74,496.85,549.07,52.22,-1.0,51.22,10.51,10.31
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-15,5.72,291.87,288.41,-3.46,-1.0,-4.46,-1.19,-1.53
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-15,69.67,487.68,487.97,0.29,-11.58,-11.29,0.06,-2.32
Europe,IESE.AS,15.0,2024-01-01,2024-03-15,58.12,871.76,1024.5,152.74,-11.69,141.05,17.52,16.18
USA,UIMP.AS,9.0,2024-01-01,2024-03-15,151.45,1363.08,1731.6,368.52,-3.11,365.41,27.04,26.81
PayPal,PYPL,3.0,2024-01-01,2024-03-15,188.81,566.43,188.55,-377.88,-1.5,-379.38,-66.71,-66.98
Cloudflare,NET,0.0,2024-01-01,2024-03-15,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-15,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-15,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-15,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-15,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-15,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-15,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-15,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-15,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-15,6.64,93.02,96.46,3.44,-4.05,-0.61,3.7,-0.66
Full portfolio,,201.0,2024-01-01,2024-03-15,8.09,6443.7,4901.96,218.62,27.27,245.89,3.39,3.82
World,2B7K.DE,51.0,2024-01-01,2024-03-16,10.05,512.65,535.4,22.75,-1.0,21.75,4.44,4.24
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-16,9.74,496.85,549.07,52.22,-1.0,51.22,10.51,10.31
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-16,5.72,291.87,288.41,-3.46,-1.0,-4.46,-1.19,-1.53
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-16,69.67,487.68,487.97,0.29,-11.58,-11.29,0.06,-2.32
Europe,IESE.AS,15.0,2024-01-01,2024-03-16,58.12,871.76,1024.5,152.74,-11.69,141.05,17.52,16.18
USA,UIMP.AS,9.0,2024-01-01,2024-03-16,151.45,1363.08,1731.6,368.52,-3.11,365.41,27.04,26.81
PayPal,PYPL,3.0,2024-01-01,2024-03-16,188.81,566.43,188.55,-377.88,-1.5,-379.38,-66.71,-66.98
Cloudflare,NET,0.0,2024-01-01,2024-03-16,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-16,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-16,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-16,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-16,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-16,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-16,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-16,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-16,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-16,6.64,93.02,96.46,3.44,-4.05,-0.61,3.7,-0.66
Full portfolio,,201.0,2024-01-01,2024-03-16,8.09,6443.7,4901.96,218.62,27.27,245.89,3.39,3.82
World,2B7K.DE,51.0,2024-01-01,2024-03-17,10.05,512.65,535.4,22.75,-1.0,21.75,4.44,4.24
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-17,9.74,496.85,549.07,52.22,-1.0,51.22,10.51,10.31
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-17,5.72,291.87,288.41,-3.46,-1.0,-4.46,-1.19,-1.53
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-17,69.67,487.68,487.97,0.29,-11.58,-11.29,0.06,-2.32
Europe,IESE.AS,15.0,2024-01-01,2024-03-17,58.12,871.76,1024.5,152.74,-11.69,141.05,17.52,16.18
USA,UIMP.AS,9.0,2024-01-01,2024-03-17,151.45,1363.08,1731.6,368.52,-3.11,365.41,27.04,26.81
PayPal,PYPL,3.0,2024-01-01,2024-03-17,188.81,566.43,188.55,-377.88,-1.5,-379.38,-66.71,-66.98
Cloudflare,NET,0.0,2024-01-01,2024-03-17,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-17,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-17,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-17,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-17,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-17,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-17,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-17,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-17,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-17,6.64,93.02,96.46,3.44,-4.05,-0.61,3.7,-0.66
Full portfolio,,201.0,2024-01-01,2024-03-17,8.09,6443.7,4901.96,218.62,27.27,245.89,3.39,3.82
World,2B7K.DE,51.0,2024-01-01,2024-03-18,10.05,512.65,540.4,27.75,-1.0,26.75,5.41,5.22
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-18,9.74,496.85,555.9,59.05,-1.0,58.05,11.88,11.68
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-18,5.72,291.87,289.32,-2.55,-1.0,-3.55,-0.87,-1.22
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-18,69.67,487.68,493.5,5.82,-11.58,-5.76,1.19,-1.18
Europe,IESE.AS,15.0,2024-01-01,2024-03-18,58.12,871.76,1023.0,151.24,-11.69,139.55,17.35,16.01
USA,UIMP.AS,9.0,2024-01-01,2024-03-18,151.45,1363.08,1747.8,384.72,-3.11,381.61,28.22,28.0
PayPal,PYPL,3.0,2024-01-01,2024-03-18,188.81,566.43,192.69,-373.74,-1.5,-375.24,-65.98,-66.25
Cloudflare,NET,0.0,2024-01-01,2024-03-18,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-18,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-18,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-18,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-18,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-18,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-18,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-18,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-18,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-18,6.64,93.02,95.83,2.81,-4.05,-1.24,3.02,-1.33
Full portfolio,,201.0,2024-01-01,2024-03-18,8.09,6443.7,4938.44,255.1,27.27,282.37,3.96,4.38
World,2B7K.DE,51.0,2024-01-01,2024-03-19,10.05,512.65,541.31,28.66,-1.0,27.66,5.59,5.4
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-19,9.74,496.85,553.96,57.11,-1.0,56.11,11.49,11.29
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-19,5.72,291.87,288.35,-3.52,-1.0,-4.52,-1.2,-1.55
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-19,69.67,487.68,495.67,7.99,-11.58,-3.59,1.64,-0.74
Europe,IESE.AS,15.0,2024-01-01,2024-03-19,58.12,871.76,1024.8,153.04,-11.69,141.35,17.56,16.21
USA,UIMP.AS,9.0,2024-01-01,2024-03-19,151.45,1363.08,1751.76,388.68,-3.11,385.57,28.51,28.29
PayPal,PYPL,3.0,2024-01-01,2024-03-19,188.81,566.43,189.03,-377.4,-1.5,-378.9,-66.63,-66.89
Cloudflare,NET,0.0,2024-01-01,2024-03-19,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-19,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-19,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-19,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-19,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-19,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-19,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-19,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-19,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-19,6.64,93.02,95.29,2.27,-4.05,-1.78,2.44,-1.92
Full portfolio,,201.0,2024-01-01,2024-03-19,8.09,6443.7,4940.17,256.83,27.27,284.1,3.99,4.41
World,2B7K.DE,51.0,2024-01-01,2024-03-20,10.05,512.65,542.95,30.3,-1.0,29.3,5.91,5.71
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-20,9.74,496.85,556.0,59.15,-1.0,58.15,11.91,11.7
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-20,5.72,291.87,289.27,-2.6,-1.0,-3.6,-0.89,-1.23
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-20,69.67,487.68,494.69,7.01,-11.58,-4.57,1.44,-0.94
Europe,IESE.AS,15.0,2024-01-01,2024-03-20,58.12,871.76,1026.9,155.14,-11.69,143.45,17.8,16.46
USA,UIMP.AS,9.0,2024-01-01,2024-03-20,151.45,1363.08,1760.04,396.96,-3.11,393.85,29.12,28.89
PayPal,PYPL,3.0,2024-01-01,2024-03-20,188.81,566.43,195.15,-371.28,-1.5,-372.78,-65.55,-65.81
Cloudflare,NET,0.0,2024-01-01,2024-03-20,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-20,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-20,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-20,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-20,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-20,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-20,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-20,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-20,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-20,6.64,93.02,95.55,2.53,-4.05,-1.52,2.72,-1.63
Full portfolio,,201.0,2024-01-01,2024-03-20,8.09,6443.7,4960.55,277.21,27.27,304.48,4.3,4.73
World,2B7K.DE,51.0,2024-01-01,2024-03-21,10.05,512.65,550.8,38.15,-1.0,37.15,7.44,7.25
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-21,9.74,496.85,569.16,72.31,-1.0,71.31,14.55,14.35
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-21,5.72,291.87,292.33,0.46,-1.0,-0.54,0.16,-0.18
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-21,69.67,487.68,500.5,12.82,-11.58,1.24,2.63,0.25
Europe,IESE.AS,15.0,2024-01-01,2024-03-21,58.12,871.76,1034.7,162.94,-11.69,151.25,18.69,17.35
USA,UIMP.AS,9.0,2024-01-01,2024-03-21,151.45,1363.08,1792.08,429.0,-3.11,425.89,31.47,31.24
PayPal,PYPL,3.0,2024-01-01,2024-03-21,188.81,566.43,198.42,-368.01,-1.5,-369.51,-64.97,-65.23
Cloudflare,NET,0.0,2024-01-01,2024-03-21,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-21,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-21,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-21,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-21,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-21,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-21,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-21,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-21,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-21,6.64,93.02,96.53,3.51,-4.05,-0.54,3.77,-0.58
Full portfolio,,201.0,2024-01-01,2024-03-21,8.09,6443.7,5034.52,351.18,27.27,378.45,5.45,5.87
World,2B7K.DE,51.0,2024-01-01,2024-03-22,10.05,512.65,549.47,36.82,-1.0,35.82,7.18,6.99
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-22,9.74,496.85,563.96,67.11,-1.0,66.11,13.51,13.31
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-22,5.72,291.87,291.57,-0.3,-1.0,-1.3,-0.1,-0.45
Pacific,UIMT.AS,7.0,2024-01-01,2024-03-22,69.67,487.68,501.27,13.59,-11.58,2.01,2.79,0.41
Europe,IESE.AS,15.0,2024-01-01,2024-03-22,58.12,871.76,1036.8,165.04,-11.69,153.35,18.93,17.59
USA,UIMP.AS,9.0,2024-01-01,2024-03-22,151.45,1363.08,1786.5,423.42,-3.11,420.31,31.06,30.84
PayPal,PYPL,3.0,2024-01-01,2024-03-22,188.81,566.43,194.31,-372.12,-1.5,-373.62,-65.7,-65.96
Cloudflare,NET,0.0,2024-01-01,2024-03-22,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-03-22,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-03-22,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-03-22,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-03-22,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-03-22,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-03-22,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-03-22,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-03-22,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-03-22,6.64,93.02,95.74,2.72,-4.05,-1.33,2.93,-1.43
Full portfolio,,201.0,2024-01-01,2024-03-22,8.09,6443.7,5019.62,336.28,27.27,363.55,5.22,5.64
World,2B7K.DE,51.0,2024-01-01,2024-03-23,10.05,512.65,549.47,36.82,-1.0,35.82,7.18,6.99
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-03-23,9.74,496.85,563.96,67.11,-1.0,66.11,13.51,13.31
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-03-23,5.72,291.87,291.57,-0.3,-1.0,-1.3,-0.1,-0.45
