product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-03,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-03,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-03,6.64,93.02,94.54,1.52,-4.05,-2.53,1.63,-2.73
Full portfolio,,150.0,2024-01-01,2024-01-03,10.77,5931.05,4094.06,-76.63,28.27,-48.36,-1.29,-0.82
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-04,9.74,496.85,506.38,9.53,-1.0,8.53,1.92,1.72
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-04,5.72,291.87,277.59,-14.28,-1.0,-15.28,-4.89,-5.23
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-04,69.67,487.68,469.56,-18.12,-11.58,-29.7,-3.72,-6.09
Europe,IESE.AS,15.0,2024-01-01,2024-01-04,58.12,871.76,957.0,85.24,-11.69,73.55,9.78,8.44
USA,UIMP.AS,9.0,2024-01-01,2024-01-04,151.45,1363.08,1611.18,248.1,-3.11,244.99,18.2,17.97
PayPal,PYPL,3.0,2024-01-01,2024-01-04,188.81,566.43,175.35,-391.08,-1.5,-392.58,-69.04,-69.31
Cloudflare,NET,0.0,2024-01-01,2024-01-04,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-04,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-04,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-04,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-04,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-04,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-04,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-04,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-04,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-04,6.64,93.02,94.74,1.72,-4.05,-2.33,1.85,-2.5
Full portfolio,,150.0,2024-01-01,2024-01-04,10.77,5931.05,4091.8,-78.89,28.27,-50.62,-1.33,-0.85
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-05,9.74,496.85,505.36,8.51,-1.0,7.51,1.71,1.51
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-05,5.72,291.87,277.64,-14.23,-1.0,-15.23,-4.87,-5.22
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-05,69.67,487.68,472.36,-15.32,-11.58,-26.9,-3.14,-5.52
Europe,IESE.AS,15.0,2024-01-01,2024-01-05,58.12,871.76,952.8,81.04,-11.69,69.35,9.3,7.96
USA,UIMP.AS,9.0,2024-01-01,2024-01-05,151.45,1363.08,1608.12,245.04,-3.11,241.93,17.98,17.75
PayPal,PYPL,3.0,2024-01-01,2024-01-05,188.81,566.43,180.36,-386.07,-1.5,-387.57,-68.16,-68.42
Cloudflare,NET,0.0,2024-01-01,2024-01-05,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-05,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-05,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-05,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-05,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-05,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-05,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-05,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-05,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-05,6.64,93.02,94.64,1.62,-4.05,-2.43,1.74,-2.61
Full portfolio,,150.0,2024-01-01,2024-01-05,10.77,5931.05,4091.28,-79.41,28.27,-51.14,-1.34,-0.86
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-06,9.74,496.85,505.36,8.51,-1.0,7.51,1.71,1.51
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-06,5.72,291.87,277.64,-14.23,-1.0,-15.23,-4.87,-5.22
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-06,69.67,487.68,472.36,-15.32,-11.58,-26.9,-3.14,-5.52
Europe,IESE.AS,15.0,2024-01-01,2024-01-06,58.12,871.76,952.8,81.04,-11.69,69.35,9.3,7.96
USA,UIMP.AS,9.0,2024-01-01,2024-01-06,151.45,1363.08,1608.12,245.04,-3.11,241.93,17.98,17.75
PayPal,PYPL,3.0,2024-01-01,2024-01-06,188.81,566.43,180.36,-386.07,-1.5,-387.57,-68.16,-68.42
Cloudflare,NET,0.0,2024-01-01,2024-01-06,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-06,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-06,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-06,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-06,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-06,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-06,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-06,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-06,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-06,6.64,93.02,94.64,1.62,-4.05,-2.43,1.74,-2.61
Full portfolio,,150.0,2024-01-01,2024-01-06,10.77,5931.05,4091.28,-79.41,28.27,-51.14,-1.34,-0.86
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-07,9.74,496.85,505.36,8.51,-1.0,7.51,1.71,1.51
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-07,5.72,291.87,277.64,-14.23,-1.0,-15.23,-4.87,-5.22
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-07,69.67,487.68,472.36,-15.32,-11.58,-26.9,-3.14,-5.52
