Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,Unnamed: 8,Lokale waarde,Unnamed: 10,Waarde,Unnamed: 12,Wisselkoers,Transactiekosten en/of,Unnamed: 15,Totaal,Unnamed: 17,Order ID
26-11-2021,16:36,ISHARES MSCI EM IMI ESG SCREENED UCITS ETF USD ACC,IE00BFNM3P36,XET,XETA,15.0,5.994,EUR,-89.91,EUR,-89.91,EUR,,,EUR,-89.91,EUR,2bdac64b-eca3-4415-8849-c928e64fdf30
26-11-2021,16:36,UBS ETF (LU) MSCI PACIFIC SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460832,EAM,XAMS,1.0,73.54,EUR,-73.54,EUR,-73.54,EUR,,-2.02,EUR,-75.56,EUR,fcb7d0a5-eba7-4016-8e53-8004d4b87127
26-11-2021,16:35,ISHARES MSCI EUROPE SRI UCITS ETF EUR (ACC),IE00B52VJ196,EAM,XAMS,4.0,62.05,EUR,-248.2,EUR,-248.2,EUR,,-2.07,EUR,-250.27,EUR,0285c527-ee3a-4e9b-8482-796c664e073b
26-11-2021,16:34,UBS ETF (LU) MSCI USA SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460089,XET,XETA,1.0,179.54,EUR,-179.54,EUR,-179.54,EUR,,,EUR,-179.54,EUR,86953147-f7c2-490a-bb55-dc58dc61d466
22-11-2021,09:52,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,30.0,10.656,EUR,-319.68,EUR,-319.68,EUR,,,EUR,-319.68,EUR,3b121562-be56-4860-9b07-8f9e590f68a7
06-10-2021,16:05,CLOUDFLARE INC,US18915M1071,NSY,CDED,-4.0,127.05,USD,508.2,USD,440.46,EUR,1.1538,-0.51,EUR,439.95,EUR,0417730a-f4e2-4dda-8430-842f117e2312
21-09-2021,16:38,UBS ETF (LU) MSCI PACIFIC SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460832,EAM,XAMS,1.0,74.85,EUR,-74.85,EUR,-74.85,EUR,,-2.02,EUR,-76.87,EUR,d8165704-aded-4905-8e5c-197fb4be7027
21-09-2021,15:44,ISHARES MSCI EM IMI ESG SCREENED UCITS ETF USD ACC,IE00BFNM3P36,XET,XETA,12.0,5.938,EUR,-71.26,EUR,-71.26,EUR,,,EUR,-71.26,EUR,e89d62b7-e5e0-4489-985c-b86e2835d746
21-09-2021,15:43,ISHARES MSCI EUROPE SRI UCITS ETF EUR (ACC),IE00B52VJ196,EAM,XAMS,3.0,61.33,EUR,-183.99,EUR,-183.99,EUR,,-2.06,EUR,-186.05,EUR,1804a413-c445-4890-9939-63858361d69b
21-09-2021,15:37,UBS ETF (LU) MSCI USA SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460089,XET,XETA,2.0,159.02,EUR,-318.04,EUR,-318.04,EUR,,,EUR,-318.04,EUR,73bd620e-9f96-4b00-87f4-cd1034bd5df6
16-09-2021,16:13,MONGODB INC,US60937P1066,NDQ,CDED,-1.0,502.38,USD,502.38,USD,427.23,EUR,1.1759,-0.5,EUR,426.73,EUR,99215f59-e5ea-43e2-9e07-0acb9ff19de3
24-02-2021,17:18,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,BATS,1.0,264.0,USD,-264.0,USD,-217.7,EUR,1.2127,-0.5,EUR,-218.2,EUR,8f28803b-ad1e-4fc4-9142-de00cb94082e
12-02-2021,16:00,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,ARCX,1.0,291.0,USD,-291.0,USD,-240.62,EUR,1.2094,-0.5,EUR,-241.12,EUR,96e8bcde-0104-47ab-ac60-0e520b3ec624
12-02-2021,15:39,CLOUDFLARE INC,US18915M1071,NSY,XNAS,2.0,85.0,USD,-170.0,USD,-140.61,EUR,1.209,-0.51,EUR,-141.12,EUR,ddcddd05-6767-4853-aa70-86be74ed58aa
09-02-2021,21:30,TILRAY BRANDS INC,US88688T1007,NDQ,XNAS,-5.0,42.0,USD,210.0,USD,173.31,EUR,1.2117,-0.52,EUR,172.79,EUR,e344f4e8-1a76-4526-98fc-ae1a02e5d517
09-02-2021,17:39,SUNDIAL GROWERS INC,CA86730L1094,NDQ,SOHO,-50.0,1.5,USD,75.0,USD,62.0,EUR,1.2097,-0.67,EUR,61.33,EUR,1830a375-9ae9-412b-9f3a-a5e1a38f9aea
09-02-2021,17:11,SUNDIAL GROWERS INC,CA86730L1094,NDQ,SOHO,50.0,1.59,USD,-79.5,USD,-65.73,EUR,1.2095,-0.67,EUR,-66.4,EUR,c642bcf7-557f-40f8-a7af-3c17bd050659
09-02-2021,16:11,TILRAY BRANDS INC,US88688T1007,NDQ,ARCX,5.0,36.5,USD,-182.5,USD,-150.85,EUR,1.2098,-0.52,EUR,-151.37,EUR,28ff14bd-3de0-4f29-8002-81567cc885e4
